발생연도,성별,국제질병분류,암종,발생자수,조발생률,연령표준화발생률
1999,남녀전체,C00-C96,모든암,101854,216.0,402.7
1999,남녀전체,C00-C14,"입술, 구강 및 인두",1741,3.7,6.6
1999,남녀전체,C15,식도,1861,3.9,8.2
1999,남녀전체,C16,위,20900,44.3,86.0
1999,남녀전체,C18-C20,대장,9783,20.7,40.8
1999,남녀전체,C22,간,13263,28.1,52.4
1999,남녀전체,C23-C24,담낭 및 기타담도,3047,6.5,14.0
1999,남녀전체,C25,췌장,2614,5.5,11.7
1999,남녀전체,C32,후두,1101,2.3,4.8
1999,남녀전체,C33-C34,폐,13224,28.0,59.8
1999,남녀전체,C50,유방,5888,12.5,17.2
1999,남녀전체,C53,자궁경부,4486,9.5,14.2
1999,남녀전체,C54,자궁체부,728,1.5,2.4
1999,남녀전체,C56,난소,1354,2.9,4.5
1999,남녀전체,C61,전립선,1454,3.1,7.4
1999,남녀전체,C62,고환,129,0.3,0.2
1999,남녀전체,C64,신장,1416,3.0,5.3
1999,남녀전체,C67,방광,2195,4.7,9.8
1999,남녀전체,C70-C72,뇌 및 중추신경계,1359,2.9,4.1
1999,남녀전체,C73,갑상선,3407,7.2,9.8
1999,남녀전체,C81,호지킨림프종,122,0.3,0.3
1999,남녀전체,"C82-C86,C96",비호지킨림프종,2064,4.4,7.1
1999,남녀전체,C90,다발성 골수종,468,1.0,1.9
1999,남녀전체,C91-C95,백혈병,2168,4.6,6.1
1999,남녀전체,Re.C00-C96,기타 암,7082,15.0,27.8
1999,남자,C00-C96,모든암,57883,244.4,573.3
1999,남자,C00-C14,"입술, 구강 및 인두",1308,5.5,11.7
1999,남자,C15,식도,1705,7.2,18.2
1999,남자,C16,위,13566,57.3,133.3
1999,남자,C18-C20,대장,5339,22.5,53.6
1999,남자,C22,간,10023,42.3,88.6
1999,남자,C23-C24,담낭 및 기타담도,1568,6.6,18.0
1999,남자,C25,췌장,1530,6.5,16.6
1999,남자,C32,후두,975,4.1,10.3
1999,남자,C33-C34,폐,9741,41.1,109.6
1999,남자,C50,유방,41,0.2,0.4
1999,남자,C53,자궁경부,0,,
1999,남자,C54,자궁체부,0,,
1999,남자,C56,난소,0,,
1999,남자,C61,전립선,1454,6.1,21.0
1999,남자,C62,고환,129,0.5,0.5
1999,남자,C64,신장,976,4.1,8.6
1999,남자,C67,방광,1744,7.4,19.6
1999,남자,C70-C72,뇌 및 중추신경계,711,3.0,4.6
1999,남자,C73,갑상선,518,2.2,3.3
1999,남자,C81,호지킨림프종,85,0.4,0.6
1999,남자,"C82-C86,C96",비호지킨림프종,1226,5.2,9.5
1999,남자,C90,다발성 골수종,256,1.1,2.4
1999,남자,C91-C95,백혈병,1218,5.1,7.5
1999,남자,Re.C00-C96,기타 암,3770,15.9,35.6
1999,여자,C00-C96,모든암,43971,187.2,294.7
1999,여자,C00-C14,"입술, 구강 및 인두",433,1.8,2.8
1999,여자,C15,식도,156,0.7,1.3
1999,여자,C16,위,7334,31.2,52.6
1999,여자,C18-C20,대장,4444,18.9,32.5
1999,여자,C22,간,3240,13.8,24.1
1999,여자,C23-C24,담낭 및 기타담도,1479,6.3,11.6
1999,여자,C25,췌장,1084,4.6,8.5
1999,여자,C32,후두,126,0.5,1.0
1999,여자,C33-C34,폐,3483,14.8,27.0
1999,여자,C50,유방,5847,24.9,33.0
1999,여자,C53,자궁경부,4486,19.1,26.6
1999,여자,C54,자궁체부,728,3.1,4.6
1999,여자,C56,난소,1354,5.8,8.2
1999,여자,C61,전립선,0,,
1999,여자,C62,고환,0,,
1999,여자,C64,신장,440,1.9,3.0
1999,여자,C67,방광,451,1.9,3.5
1999,여자,C70-C72,뇌 및 중추신경계,648,2.8,3.7
1999,여자,C73,갑상선,2889,12.3,15.8
1999,여자,C81,호지킨림프종,37,0.2,0.2
1999,여자,"C82-C86,C96",비호지킨림프종,838,3.6,5.3
1999,여자,C90,다발성 골수종,212,0.9,1.6
1999,여자,C91-C95,백혈병,950,4.0,5.1
1999,여자,Re.C00-C96,기타 암,3312,14.1,22.8
2000,남녀전체,C00-C96,모든암,103133,217.0,395.8
2000,남녀전체,C00-C14,"입술, 구강 및 인두",2213,4.7,9.2
2000,남녀전체,C15,식도,1767,3.7,7.6
2000,남녀전체,C16,위,21084,44.4,83.3
2000,남녀전체,C18-C20,대장,10500,22.1,42.2
2000,남녀전체,C22,간,13091,27.5,50.2
2000,남녀전체,C23-C24,담낭 및 기타담도,3130,6.6,14.0
2000,남녀전체,C25,췌장,2711,5.7,11.6
2000,남녀전체,C32,후두,1046,2.2,4.3
2000,남녀전체,C33-C34,폐,13419,28.2,58.9
2000,남녀전체,C50,유방,6100,12.8,17.5
2000,남녀전체,C53,자궁경부,4358,9.2,13.7
2000,남녀전체,C54,자궁체부,728,1.5,2.3
2000,남녀전체,C56,난소,1305,2.7,4.1
2000,남녀전체,C61,전립선,1374,2.9,6.7
2000,남녀전체,C62,고환,134,0.3,0.2
2000,남녀전체,C64,신장,1464,3.1,5.2
2000,남녀전체,C67,방광,2262,4.8,9.8
2000,남녀전체,C70-C72,뇌 및 중추신경계,1354,2.8,4.0
2000,남녀전체,C73,갑상선,3438,7.2,9.7
2000,남녀전체,C81,호지킨림프종,134,0.3,0.4
2000,남녀전체,"C82-C86,C96",비호지킨림프종,2007,4.2,6.8
2000,남녀전체,C90,다발성 골수종,492,1.0,1.9
2000,남녀전체,C91-C95,백혈병,2039,4.3,5.5
2000,남녀전체,Re.C00-C96,기타 암,6983,14.7,26.6
2000,남자,C00-C96,모든암,58559,245.4,560.1
2000,남자,C00-C14,"입술, 구강 및 인두",1497,6.3,14.8
2000,남자,C15,식도,1602,6.7,16.6
2000,남자,C16,위,13901,58.3,130.7
2000,남자,C18-C20,대장,5863,24.6,55.6
2000,남자,C22,간,9882,41.4,84.3
2000,남자,C23-C24,담낭 및 기타담도,1554,6.5,17.2
2000,남자,C25,췌장,1578,6.6,16.1
2000,남자,C32,후두,952,4.0,9.3
2000,남자,C33-C34,폐,9818,41.1,107.8
2000,남자,C50,유방,59,0.2,0.5
2000,남자,C53,자궁경부,0,,
2000,남자,C54,자궁체부,0,,
2000,남자,C56,난소,0,,
2000,남자,C61,전립선,1374,5.8,18.5
2000,남자,C62,고환,134,0.6,0.5
2000,남자,C64,신장,995,4.2,8.2
2000,남자,C67,방광,1807,7.6,19.7
2000,남자,C70-C72,뇌 및 중추신경계,715,3.0,4.6
2000,남자,C73,갑상선,505,2.1,3.4
2000,남자,C81,호지킨림프종,90,0.4,0.5
2000,남자,"C82-C86,C96",비호지킨림프종,1203,5.0,9.1
2000,남자,C90,다발성 골수종,275,1.2,2.5
2000,남자,C91-C95,백혈병,1128,4.7,6.9
2000,남자,Re.C00-C96,기타 암,3627,15.2,33.1
2000,여자,C00-C96,모든암,44574,188.3,290.6
2000,여자,C00-C14,"입술, 구강 및 인두",716,3.0,5.2
2000,여자,C15,식도,165,0.7,1.3
2000,여자,C16,위,7183,30.3,49.6
2000,여자,C18-C20,대장,4637,19.6,32.9
2000,여자,C22,간,3209,13.6,23.1
2000,여자,C23-C24,담낭 및 기타담도,1576,6.7,12.0
