"행정구역(시군구)별(1)","성별(1)",2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"전국","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"서울특별시","계",-52883,-57994,-52264,-115023,-113058,-103647,-100550,-87831,-137256,-140257,-98486,-110230,-49588,-64850,-106243,-35340,-31250,-44692,-26769
"부산광역시","계",-36076,-34604,-29784,-28466,-24863,-20610,-17710,-15092,-13560,-21392,-28398,-26759,-23354,-14347,-18903,-13562,-11432,-13657,-12181
"대구광역시","계",-16545,-12738,-12662,-11840,-12747,-10564,-11351,-15526,-12940,-9260,-11936,-14242,-23673,-16835,-24319,-11519,-5288,-4712,-4272
"인천광역시","계",22721,9419,2098,3612,28809,27794,22035,9324,9538,5777,-1670,-67,-2337,-15748,11423,28101,33507,25643,32264
"광주광역시","계",-4143,447,3108,3531,1279,-1825,-2592,-2977,-9272,-7898,-8118,-6216,-3875,-6083,-5883,-7642,-9017,-7962,-13678
"대전광역시","계",-1048,-5610,-5758,-1045,3344,499,311,-8838,-20616,-10631,-16175,-14753,-16342,-11097,-8931,-2996,-2474,-1693,2824
"울산광역시","계",-992,3906,-5031,-3525,1872,4006,2307,2786,-80,-7622,-11917,-12654,-10172,-13584,-13674,-9536,-6215,-4854,-5474
"세종특별자치시","계",-,-,-,-,-,17493,8696,33456,53044,29816,34690,31433,23724,13025,14085,10128,1690,2808,-47
"경기도","계",113100,100597,94153,142437,75799,82753,74131,57396,94768,133617,116162,170094,134666,168373,150517,43882,44612,64218,32970
"강원특별자치도","계",-6146,1310,1818,555,4653,712,2986,2085,4773,1892,2035,-3854,1661,5457,6681,7494,-1397,-2527,-1387
"충청북도","계",5692,6913,2521,5964,8079,4641,3113,2367,1438,5011,2262,5149,2565,3454,3462,5201,3873,3245,10789
"충청남도","계",13363,15529,12115,16178,18641,9849,13375,9810,10272,15318,19401,10084,-794,741,8522,14314,15840,14664,8266
"전북특별자치도","계",-10874,-10550,-4806,-2448,1721,-3291,-2197,-2563,-2830,-4419,-7206,-13773,-12748,-8494,-5801,-5115,-4457,-6060,-3575
"전라남도","계",-16573,-13318,-7425,-10061,-5222,-5054,-2306,-596,3936,-3205,-3047,-8030,-8788,-9754,-4487,-345,-1800,-3988,1334
"경상북도","계",-14611,-14100,-8307,-3552,4816,-4860,-1865,-988,-577,-3151,-5581,-9225,-4571,-16978,3337,-7666,-8205,-8003,-9214
"경상남도","계",7943,13029,11239,3246,4534,-2772,3794,6075,5105,1772,3979,-5810,-9310,-16658,-13703,-18547,-16300,-9069,-7577
"제주특별자치도","계",-2928,-2236,-1015,437,2343,4876,7823,11112,14257,14632,14005,8853,2936,3378,3917,3148,-1687,-3361,-4273
