"행정구역별",2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024
"행정구역별",인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B),인구 천명당 의료기관 종사 의사수<br>(A÷B×1000),의료기관 종사 의사수<br>(A),주민등록인구<br>(B)
"전국",2.1,103556,49268928,2.2,110283,49540367,2.3,115087,49773145,2.4,119229,50515666,2.4,122780,50734284,2.5,126002,50948272,2.6,131391,51141463,2.6,134646,51327916,2.7,137862,51529338,2.7,141600,51696216,2.8,145930,51778544,2.9,149022,51826059,3.0,153744,51849861,3.0,156992,51829023,3.1,159970,51638809,3.2,163115,51439038,3.2,166197,51325329,3.2,161752,51217221
"서울특별시",2.9,29750,10192710,3.2,32138,10200827,3.3,33686,10208302,3.4,35065,10312545,3.5,35632,10249679,3.6,36289,10195318,3.8,38190,10143645,3.8,38625,10103233,3.9,39026,10022181,4.0,39640,9930616,4.1,40597,9857426,4.2,41369,9765623,4.4,42685,9729107,4.5,43581,9668465,4.7,44717,9509458,4.8,45440,9428372,5.0,46624,9386034,4.7,43547,9331828
"부산광역시",2.3,8268,3587439,2.4,8546,3564577,2.5,8710,3543030,2.6,9126,3567910,2.7,9506,3550963,2.8,9788,3538484,2.9,10171,3527635,3.0,10458,3519401,3.1,10745,3513777,3.1,10929,3498529,3.2,11092,3470653,3.3,11246,3441453,3.4,11456,3413841,3.4,11610,3391946,3.5,11778,3350380,3.6,11982,3317812,3.7,12120,3293362,3.6,11812,3266598
"대구광역시",2.4,6085,2493261,2.6,6421,2492724,2.6,6591,2489781,2.7,6744,2511676,2.7,6856,2507271,2.8,7068,2505644,2.9,7225,2501588,3.0,7360,2493264,3.0,7557,2487829,3.1,7792,2484557,3.2,7930,2475231,3.3,8137,2461769,3.4,8384,2438031,3.5,8523,2418346,3.6,8661,2385412,3.7,8810,2363691,3.8,9006,2374960,3.6,8604,2363629
"인천광역시",1.7,4497,2664576,1.8,4732,2692696,1.8,4949,2710579,1.8,5002,2758296,1.9,5263,2801274,1.9,5469,2843981,2.0,5738,2879782,2.1,6075,2902608,2.1,6279,2925815,2.2,6465,2943069,2.3,6809,2948542,2.4,7088,2954642,2.5,7366,2957026,2.5,7486,2942828,2.6,7621,2948375,2.6,7857,2967314,2.7,8187,2997410,2.7,8275,3021010
"광주광역시",2.6,3728,1413444,2.7,3819,1422702,2.7,3879,1433640,2.8,4134,1454636,3.0,4355,1463464,3.0,4428,1469216,3.1,4581,1472910,3.2,4740,1475884,3.3,4885,1472199,3.5,5104,1469214,3.6,5211,1463770,3.6,5222,1459336,3.7,5390,1456468,3.7,5424,1450062,3.7,5382,1441611,3.8,5488,1431050,3.9,5552,1419237,3.8,5390,1408422
"대전광역시",2.4,3615,1475659,2.6,3890,1480895,2.7,4070,1484180,2.8,4181,1503664,2.8,4296,1515603,3.0,4515,1524583,3.0,4633,1532811,3.1,4762,1531809,3.2,4879,1518775,3.3,4962,1514370,3.4,5086,1502227,3.5,5198,1489936,3.6,5319,1474870,3.6,5302,1463882,3.7,5348,1452251,3.7,5406,1446072,3.8,5419,1442216,3.6,5139,1439157
"울산광역시",1.7,1867,1099995,1.8,1950,1112407,1.8,2049,1114866,1.8,2077,1126298,1.9,2210,1135494,2.0,2245,1147256,2.0,2324,1156480,2.0,2372,1166377,2.1,2504,1173534,2.2,2593,1172304,2.3,2639,1165132,2.3,2632,1155623,2.3,2668,1148019,2.4,2688,1136017,2.4,2714,1121592,2.5,2737,1110663,2.5,2790,1103661,2.5,2770,1098049
